"Id";"Oznaczenie";"Pakiet";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"F2";"Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open";1;"12.5";;;
2;"J4,J5";"PinHeader_2x15_P2.54mm_Vertical_SMD";2;"Conn_01x15_Female";;;
3;"Q2";"TO-220-3_Vertical";1;"BTA16-600C";;;
4;"H1,H4,H2,H3";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"D2";"LED_D3.0mm";1;"WiFi connected - Green LED";;;
6;"D3";"LED_D3.0mm";1;"Heat on - RED LED";;;
7;"Q1";"SOT-23";1;"BSS138";;;
8;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1,2k";;;
9;"D4";"LED_D3.0mm";1;"Empty Orange LED";;;
10;"J1";"TerminalBlock_bornier-3_P5.08mm";1;"Screw_DS18_Terminal_01x03";;;
11;"FL1";"SSHB21HSR10300";1;"SSHB21HS-R10300";;;
12;"U2";"DIP-6_W8.89mm_SMDSocket_LongPads";1;"MOC3041M";;;
13;"D1";"LED_D3.0mm";1;"Power On Red LED";;;
14;"R10,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2.2k";;;
15;"R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1.2k";;;
16;"R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10k";;;
17;"C3";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"22n";;;
18;"R6";"R_2512_6332Metric";1;"330";;;
19;"R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"4.7k";;;
20;"R8";"R_2512_6332Metric";1;"39";;;
21;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"390";;;
22;"C2xclass3,C2xclass2,C2xclass1";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";3;"2.2n";;;
23;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10u";;;
24;"J3";"TerminalBlock_bornier-3_P5.08mm";1;"Czajnik_plug";;;
25;"R7";"R_2512_6332Metric";1;"360";;;
26;"J6";"TerminalBlock_bornier-3_P5.08mm";1;"Screw_230v_Terminal_01x03";;;
27;"F1";"R_Axial_DIN0516_L15.5mm_D5.0mm_P30.48mm_Horizontal";1;"Thermal Fuse 72 st.";;;
28;"C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100n";;;
29;"RV1";"RV_Disc_D12mm_W3.9mm_P7.5mm";1;"Varistor";;;
30;"PS1";"Converter_ACDC_HiLink_HLK-PMxx";1;"HLK-PM01";;;
31;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"100";;;
